id,link,bedrooms,bathrooms,area_m2,price,date,condition,location,latitude,longitude
P1753731159_15,https://www.fincaraiz.com.co/casa-en-venta-en-san-miguel-cucuta/10945273,4,1,69,310.000.000,2025-07-28 14:32:39.992984,Usado,"San miguel, Cúcuta, Norte de santander",7.902955760965,-72.534785409426
P1753731162_16,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/191272522,3,3,150,350.000.000,2025-07-28 14:32:42.691890,Usado,"Cúcuta, Norte de santander",7.899907025309,-72.471790706448
P1753731164_17,https://www.fincaraiz.com.co/casa-en-venta-en-pisarreal-cucuta/10774750,3,2,90,170.000.000,2025-07-28 14:32:44.998645,Usado,"Pisarreal, Cúcuta, Norte de santander",7.896549994078,-72.473960012418
P1753731168_18,https://www.fincaraiz.com.co/casa-en-venta-en-la-ceiba-cucuta/11082156,4,7,370,1.200.000.000,2025-07-28 14:32:48.080840,Usado,"La ceiba, Cúcuta, Norte de santander",7.89528,-72.49755
P1753731169_19,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/11082471,4,4,300,470.000.000,2025-07-28 14:32:49.994933,Usado,"Quinta oriental, Cúcuta, Norte de santander",7.8939000344341,-72.492574920176
P1753731173_20,https://www.fincaraiz.com.co/casa-en-venta-en-torcoroma-siglo-xxi-cucuta/10774961,5,5,145,290.000.000,2025-07-28 14:32:53.343463,Usado,"Torcoroma siglo xxi, Cúcuta, Norte de santander",7.90092,-72.46924
P1753731182_0,https://www.fincaraiz.com.co/casa-en-venta-en-la-ceiba-cucuta/10774615,4,4,138,470.000.000,2025-07-28 14:33:02.708182,Usado,"La ceiba, Cúcuta, Norte de santander",7.89528,-72.49755
P1753731185_1,https://www.fincaraiz.com.co/casa-en-venta-en-parq-resid-los-libertadores-b-cucuta/11082424,3,4,270,485.000.000,2025-07-28 14:33:05.371641,Usado,"Parq resid los libertadores b, Cúcuta, Norte de santander",7.9021100000001,-72.48468
P1753731187_2,https://www.fincaraiz.com.co/casa-en-venta-en-el-contento-cucuta/11082238,4,4,179,700.000.000,2025-07-28 14:33:07.808742,Usado,"El contento, Cúcuta, Norte de santander",7.879229822406,-72.507677352678
P1753731189_3,https://www.fincaraiz.com.co/casa-en-venta-en-popular-cucuta/11045004,3,3,109,300.000.000,2025-07-28 14:33:09.804266,Usado,"Popular, Cúcuta, Norte de santander",7.8896443,-72.5040763
P1753731191_4,https://www.fincaraiz.com.co/casa-en-venta-en-aguas-calientes-cucuta/10797280,3,3,92,220.000.000,2025-07-28 14:33:11.864092,Usado,"Aguas calientes, Cúcuta, Norte de santander",7.886009212906,-72.472582759911
P1753731194_5,https://www.fincaraiz.com.co/casa-en-venta-en-ricaurte/191373032,3,2,126,270.000.000,2025-07-28 14:33:14.455083,Usado,"Ricaurte, Norte de santander",7.8947993447517,-72.481886591294
P1753731196_6,https://www.fincaraiz.com.co/casa-en-venta-en-guaymaral-cucuta/11082086,6,4,120,430.000.000,2025-07-28 14:33:16.888453,Usado,"Guaymaral, Cúcuta, Norte de santander",7.91005,-72.49329
P1753731199_7,https://www.fincaraiz.com.co/casa-en-venta-en-valle-esther-cucuta/11082241,3,2,221,180.000.000,2025-07-28 14:33:19.075891,Usado,"Valle esther, Cúcuta, Norte de santander",7.885782017357,-72.469198850776
P1753731201_8,https://www.fincaraiz.com.co/casa-en-venta-en-centro-cucuta/11047906,6,5,380,2.400.000.000,2025-07-28 14:33:21.248058,Usado,"Centro, Cúcuta, Norte de santander",7.8886436,-72.5041618
P1753731203_9,https://www.fincaraiz.com.co/casa-en-venta-en-torcoroma-ii-sc-i-cucuta/11029989,3,4,330,900.000.000,2025-07-28 14:33:23.541750,Usado,"Torcoroma ii sc i, Cúcuta, Norte de santander",7.901234764616,-72.471555302087
P1753731206_10,https://www.fincaraiz.com.co/casa-en-venta-en-el-contento-cucuta/11046943,20,10,919,1.100.000.000,2025-07-28 14:33:26.221606,Usado,"El contento, Cúcuta, Norte de santander",7.88414640643362,-72.5124667183483
