id,link,bedrooms,bathrooms,area_m2,price,date,condition,location
P1753665567_5,https://www.fincaraiz.com.co/casa-en-venta-en-la-union-cucuta/192159319,6 Habs.,4 Baños,188 m²,$ 300.000.000,2025-07-27 20:19:27.552798,Usado,"La union, Cúcuta, Norte de santander"
P1753665569_6,https://www.fincaraiz.com.co/casa-en-venta-en-la-capillana-cucuta/192159357,3 Habs.,5 Baños,100 m²,$ 350.000.000,2025-07-27 20:19:29.792485,Usado,"La capillana, Cúcuta, Norte de santander"
P1753665572_7,https://www.fincaraiz.com.co/casa-en-venta-en-la-ceiba-cucuta/192159214,7 Habs.,4 Baños,384 m²,$ 800.000.000,2025-07-27 20:19:32.065964,Usado,"La ceiba, Cúcuta, Norte de santander"
P1753665574_8,https://www.fincaraiz.com.co/casa-en-venta-en-niza-cucuta/192169891,5 Habs.,4 Baños,126 m²,$ 850.000.000,2025-07-27 20:19:34.216104,Usado,"Niza, Cúcuta, Norte de santander"
P1753665576_9,https://www.fincaraiz.com.co/casa-en-venta-en-la-riviera-cucuta/192213743,3 Habs.,6 Baños,360 m²,$ 1.800.000.000,2025-07-27 20:19:36.531311,Usado,"La riviera, Cúcuta, Norte de santander"
P1753665579_10,https://www.fincaraiz.com.co/casa-en-venta-en-la-cabrera-cucuta/192159668,4 Habs.,1 Baño,160 m²,$ 380.000.000,2025-07-27 20:19:39.079683,Usado,"La cabrera, Cúcuta, Norte de santander"
P1753665581_11,https://www.fincaraiz.com.co/casa-en-venta-en-nuevo-escobal-cucuta/192158734,3 Habs.,3 Baños,105 m²,$ 220.000.000,2025-07-27 20:19:41.608550,Usado,"Nuevo escobal, Cúcuta, Norte de santander"
P1753665583_12,https://www.fincaraiz.com.co/casa-en-venta-en-la-playa-cucuta/192158233,3 Habs.,4 Baños,186 m²,$ 680.000.000,2025-07-27 20:19:43.507720,Usado,"La playa, Cúcuta, Norte de santander"
P1753665585_13,https://www.fincaraiz.com.co/casa-en-venta-en-la-riviera-cucuta/192357945,3 Habs.,3 Baños,210 m²,$ 630.100.000,2025-07-27 20:19:45.528970,Usado,"La riviera, Cúcuta, Norte de santander"
P1753665587_14,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192249386,3 Habs.,2 Baños,90 m²,$ 250.000.000,2025-07-27 20:19:47.894908,Usado,"Cúcuta, Norte de santander"
P1753665589_15,https://www.fincaraiz.com.co/casa-en-venta-en-centro-cucuta/192159822,5 Habs.,5 Baños,816 m²,$ 900.000.000,2025-07-27 20:19:50.030720,Usado,"Centro, Cúcuta, Norte de santander"
P1753665592_16,https://www.fincaraiz.com.co/casa-en-venta-en-aeropuerto-cucuta/192159189,3 Habs.,2 Baños,100 m²,$ 180.000.000,2025-07-27 20:19:52.284383,Usado,"Aeropuerto, Cúcuta, Norte de santander"
P1753665594_17,https://www.fincaraiz.com.co/casa-en-venta-en-torcoroma-siglo-xxi-cucuta/192159190,2 Habs.,2 Baños,88 m²,$ 130.000.000,2025-07-27 20:19:54.781008,Usado,"Torcoroma siglo xxi, Cúcuta, Norte de santander"
P1753665596_18,https://www.fincaraiz.com.co/casa-en-venta-en-la-cabrera-cucuta/192159829,6 Habs.,6 Baños,350 m²,$ 650.000.000,2025-07-27 20:19:56.777574,Usado,"La cabrera, Cúcuta, Norte de santander"
P1753665598_19,https://www.fincaraiz.com.co/casa-en-venta-en-caobos-cucuta/192158725,8 Habs.,4 Baños,349 m²,$ 1.376.577.700,2025-07-27 20:19:58.760500,Usado,"Caobos, Cúcuta, Norte de santander"
P1753665600_20,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-bosch-cucuta/7767269,7 Habs.,6 Baños,300 m²,$ 660.000.000,2025-07-27 20:20:00.839067,Usado,"Quinta bosch, Cúcuta, Norte de santander"
P1753665607_0,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/192159113,4 Habs.,4 Baños,203 m²,$ 490.000.000,2025-07-27 20:20:07.864263,Usado,"Quinta oriental, Cúcuta, Norte de santander"
P1753665609_1,https://www.fincaraiz.com.co/casa-en-venta-en-molinos-del-norte-b-cucuta/192158502,2 Habs.,1 Baño,74 m²,$ 130.000.000,2025-07-27 20:20:09.676812,Usado,"Molinos del norte b, Cúcuta, Norte de santander"
P1753665611_2,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192214038,7 Habs.,7 Baños,244 m²,$ 900.000.000,2025-07-27 20:20:11.536244,Usado,"Cúcuta, Norte de santander"
P1753665613_3,https://www.fincaraiz.com.co/casa-en-venta-en-la-ceiba-cucuta/192159146,4 Habs.,3 Baños,208 m²,$ 550.000.000,2025-07-27 20:20:13.411417,Usado,"La ceiba, Cúcuta, Norte de santander"
P1753665616_4,https://www.fincaraiz.com.co/casa-en-venta-en-prados-del-este-cucuta/192158137,4 Habs.,5 Baños,270 m²,$ 400.000.000,2025-07-27 20:20:16.759163,Usado,"Prados del Este, Cúcuta, Norte de santander"
P1753665618_5,https://www.fincaraiz.com.co/casa-en-venta-en-el-bosque-cucuta/192159399,3 Habs.,3 Baños,106 m²,$ 280.000.000,2025-07-27 20:20:18.648527,Usado,"El bosque, Cúcuta, Norte de santander"
P1753665620_6,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192158551,4 Habs.,2 Baños,170 m²,$ 118.000.000,2025-07-27 20:20:20.729227,Usado,"Cúcuta, Norte de santander"
P1753665623_7,https://www.fincaraiz.com.co/casa-en-venta-en-el-contento-cucuta/192159933,4 Habs.,3 Baños,265 m²,$ 480.000.000,2025-07-27 20:20:23.197626,Usado,"El contento, Cúcuta, Norte de santander"
P1753665625_8,https://www.fincaraiz.com.co/casa-en-venta-en-ceiba-ii-cucuta/192158689,4 Habs.,4 Baños,204 m²,$ 520.000.000,2025-07-27 20:20:25.752261,Usado,"Ceiba ii, Cúcuta, Norte de santander"
P1753665627_9,https://www.fincaraiz.com.co/casa-en-venta-en-el-llano-cucuta/192158629,4 Habs.,5 Baños,307 m²,$ 1.200.000.000,2025-07-27 20:20:27.576697,Usado,"El llano, Cúcuta, Norte de santander"
P1753665629_10,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192158826,7 Habs.,3 Baños,390 m²,$ 680.000.000,2025-07-27 20:20:29.481668,Usado,"Cúcuta, Norte de santander"
P1753665632_11,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192158915,3 Habs.,1 Baño,250 m²,$ 490.000.000,2025-07-27 20:20:32.097842,Usado,"Cúcuta, Norte de santander"
P1753665634_12,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/192201378,3 Habs.,4 Baños,78 m²,$ 450.000.000,2025-07-27 20:20:34.678557,Usado,"Quinta oriental, Cúcuta, Norte de santander"
P1753665636_13,https://www.fincaraiz.com.co/casa-en-venta-en-ceiba-ii-cucuta/192457523,3 Habs.,2 Baños,118 m²,$ 450.000.000,2025-07-27 20:20:36.831696,Usado,"Ceiba ii, Cúcuta, Norte de santander"
P1753665638_14,https://www.fincaraiz.com.co/casa-en-venta-en-san-rafael-cucuta/192159658,3 Habs.,4 Baños,300 m²,$ 650.000.000,2025-07-27 20:20:38.786456,Usado,"San rafael, Cúcuta, Norte de santander"
P1753665641_15,https://www.fincaraiz.com.co/casa-en-venta-en-caobos-cucuta/192159574,4 Habs.,2 Baños,160 m²,$ 1.500.000.000,2025-07-27 20:20:41.461938,Usado,"Caobos, Cúcuta, Norte de santander"
P1753665643_16,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192159512,4 Habs.,6 Baños,380 m²,$ 2.500.000.000,2025-07-27 20:20:43.941149,Usado,"Cúcuta, Norte de santander"
P1753665646_17,https://www.fincaraiz.com.co/casa-en-venta-en-el-llano-cucuta/192158897,9 Habs.,5 Baños,310 m²,$ 500.000.000,2025-07-27 20:20:46.509503,Usado,"El llano, Cúcuta, Norte de santander"
P1753665648_18,https://www.fincaraiz.com.co/casa-en-venta-en-cr-alicante-cucuta/192159402,4 Habs.,3 Baños,170 m²,$ 485.000.000,2025-07-27 20:20:48.852692,Usado,"Cr alicante, Cúcuta, Norte de santander"
P1753665651_19,https://www.fincaraiz.com.co/casa-en-venta-en-colsag-cucuta/192273861,6 Habs.,7 Baños,510 m²,$ 900.000.000,2025-07-27 20:20:51.396370,Usado,"Colsag, Cúcuta, Norte de santander"
P1753665653_20,https://www.fincaraiz.com.co/casa-en-venta-en-la-ceiba-cucuta/192364262,3 Habs.,2 Baños,107 m²,$ 360.000.000,2025-07-27 20:20:53.363991,Usado,"La ceiba, Cúcuta, Norte de santander"
P1753665660_0,https://www.fincaraiz.com.co/casa-en-venta-en-atalaya-cucuta/192158378,2 Habs.,3 Baños,229 m²,$ 300.000.000,2025-07-27 20:21:00.550931,Usado,"Atalaya, Cúcuta, Norte de santander"
P1753665662_1,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/192467861,4 Habs.,3 Baños,105 m²,$ 380.000.000,2025-07-27 20:21:02.735093,Usado,"Quinta oriental, Cúcuta, Norte de santander"
P1753665664_2,https://www.fincaraiz.com.co/casa-en-venta-en-popular-cucuta/192159837,4 Habs.,4 Baños,1027 m²,$ 470.000.000,2025-07-27 20:21:04.649614,Usado,"Popular, Cúcuta, Norte de santander"
P1753665666_3,https://www.fincaraiz.com.co/casa-en-venta-en-lleras-restrepo-cucuta/192159791,4 Habs.,3 Baños,220 m²,$ 600.000.000,2025-07-27 20:21:06.661581,Usado,"Lleras restrepo, Cúcuta, Norte de santander"
P1753665668_4,https://www.fincaraiz.com.co/casa-en-venta-en-niza-cucuta/192158597,4 Habs.,3 Baños,120 m²,$ 320.000.000,2025-07-27 20:21:08.703938,Usado,"Niza, Cúcuta, Norte de santander"
